<blank>	-1
<unk>	-1
的	59022
一	30828
在	18316
是	14818
中	14645
十	14348
人	13901
有	13113
了	12779
二	12758
上	12666
不	12357
国	12179
市	11806
大	11386
业	11084
为	10916
年	10645
三	9753
发	9505
个	8744
出	8639
地	8631
行	8543
公	8518
分	8493
会	8427
成	8106
和	7923
这	7920
到	7603
产	7576
对	7470
五	7380
时	7341
场	7314
能	7301
房	7233
来	7041
以	6998
新	6978
百	6944
日	6709
之	6536
者	6485
将	6468
要	6459
现	6446
家	6339
四	6252
资	6196
多	6121
月	6055
零	5970
也	5959
后	5914
方	5909
机	5820
下	5813
于	5808
生	5784
前	5756
比	5658
点	5582
开	5548
高	5444
动	5409
经	5281
进	5219
报	5175
用	5134
赛	5088
体	5081
金	5022
价	4933
可	4906
车	4834
被	4808
过	4808
万	4807
司	4771
子	4742
自	4735
全	4711
本	4687
手	4687
作	4660
最	4563
电	4544
目	4533
八	4500
部	4471
六	4467
我	4352
力	4237
加	4226
面	4222
七	4213
度	4164
交	4138
企	4115
实	4100
元	4079
九	4069
城	4060
已	4027
定	4026
小	4007
其	3987
还	3975
同	3967
品	3960
合	3958
工	3957
而	3940
网	3936
关	3935
他	3918
内	3914
与	3904
法	3867
得	3863
就	3765
入	3756
记	3750
理	3721
事	3671
名	3667
长	3665
商	3599
们	3597
女	3584
两	3578
京	3575
都	3560
并	3497
制	3489
但	3470
化	3444
政	3412
平	3400
期	3375
主	3368
表	3355
重	3349
次	3339
保	3316
据	3314
务	3310
通	3307
利	3289
相	3269
道	3250
天	3221
展	3193
提	3169
投	3166
北	3162
量	3157
间	3146
员	3130
建	3105
因	3096
海	3087
好	3083
第	3082
所	3069
数	3042
管	3008
外	3006
示	2987
区	2978
更	2941
性	2911
等	2903
从	2895
应	2875
增	2854
运	2849
计	2848
当	2838
项	2836
收	2831
信	2810
明	2755
位	2701
着	2694
设	2684
民	2679
调	2656
规	2653
起	2651
持	2639
学	2622
台	2607
今	2575
很	2548
格	2543
没	2543
正	2528
心	2526
股	2525
然	2472
去	2451
安	2440
此	2434
美	2428
果	2412
无	2370
队	2364
科	2342
受	2341
线	2340
如	2338
基	2338
身	2327
需	2308
费	2295
情	2293
消	2278
世	2274
近	2270
达	2267
东	2259
布	2251
证	2245
标	2242
些	2235
未	2231
求	2225
息	2209
步	2204
看	2197
向	2184
里	2181
说	2168
千	2158
男	2156
回	2153
门	2147
及	2146
改	2143
式	2137
意	2127
接	2126
米	2125
续	2125
亿	2101
住	2094
技	2069
至	2068
销	2067
水	2067
总	2067
监	2067
联	2065
打	2062
讯	2060
件	2059
整	2046
获	2022
院	2013
张	2009
强	1999
该	1992
环	1989
老	1984
购	1968
局	1945
特	1940
问	1939
售	1925
由	1921
楼	1914
路	1910
统	1886
处	1862
系	1851
题	1842
称	1841
推	1838
乐	1822
影	1821
战	1821
策	1818
让	1816
广	1816
决	1802
涨	1796
少	1795
显	1793
己	1784
常	1782
首	1776
完	1773
银	1773
降	1772
户	1772
创	1770
只	1767
种	1761
立	1743
查	1740
参	1736
案	1728
选	1725
营	1718
程	1710
球	1702
结	1701
各	1698
备	1697
势	1696
易	1695
准	1693
款	1687
造	1686
牌	1684
认	1678
代	1677
低	1677
跑	1662
积	1659
友	1648
存	1630
放	1626
超	1619
险	1617
州	1617
原	1617
做	1610
再	1610
级	1607
客	1605
传	1605
较	1601
物	1601
样	1597
文	1583
单	1581
风	1578
供	1574
界	1570
告	1566
转	1564
解	1556
给	1551
取	1547
警	1538
她	1528
率	1526
华	1526
预	1519
集	1516
排	1515
周	1512
升	1501
指	1501
导	1501
每	1493
搜	1484
走	1480
片	1472
快	1472
头	1469
术	1467
服	1466
变	1465
型	1459
则	1458
视	1450
直	1449
口	1447
任	1446
研	1437
源	1430
非	1430
速	1429
斯	1428
约	1422
组	1421
施	1417
别	1408
社	1399
活	1394
使	1393
领	1392
支	1383
军	1382
器	1378
专	1378
模	1376
医	1375
难	1374
想	1366
团	1365
